127.0.0.1, 2013-05-17 00:08:47, GET, /911_signin/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000572
127.0.0.1, 2013-05-17 00:08:47, GET, /911_signin/static/js/jquery.js, HTTP/1.1, 200, 0.001287
127.0.0.1, 2013-05-17 00:08:47, GET, /911_signin/static/js/calendar.js, HTTP/1.1, 200, 0.000482
127.0.0.1, 2013-05-17 00:08:47, GET, /911_signin/static/css/calendar.css, HTTP/1.1, 200, 0.000457
127.0.0.1, 2013-05-17 00:08:47, GET, /911_signin/static/js/web2py.js, HTTP/1.1, 200, 0.000396
127.0.0.1, 2013-05-17 00:08:47, GET, /911_signin/static/css/skeleton.css, HTTP/1.1, 200, 0.000442
127.0.0.1, 2013-05-17 00:08:47, GET, /911_signin/static/css/web2py.css, HTTP/1.1, 200, 0.000520
127.0.0.1, 2013-05-17 00:08:47, GET, /911_signin/static/css/superfish.css, HTTP/1.1, 200, 0.000533
127.0.0.1, 2013-05-17 00:08:47, GET, /911_signin/static/js/superfish.js, HTTP/1.1, 200, 0.000502
127.0.0.1, 2013-05-17 00:08:47, GET, /911_signin/static/images/poweredby.png, HTTP/1.1, 200, 0.000523
127.0.0.1, 2013-05-17 00:08:47, GET, /911_signin/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000382
127.0.0.1, 2013-05-17 00:08:47, GET, /911_signin/static/images/shadow.png, HTTP/1.1, 200, 0.000597
127.0.0.1, 2013-05-17 00:08:50, GET, /911_signin/default/user/register, HTTP/1.1, 200, 0.027179
127.0.0.1, 2013-05-17 00:16:59, GET, /, HTTP/1.1, 303, 0.001242
127.0.0.1, 2013-05-17 00:16:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.020555
127.0.0.1, 2013-05-17 00:16:59, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000766
127.0.0.1, 2013-05-17 00:16:59, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000283
127.0.0.1, 2013-05-17 00:16:59, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001575
127.0.0.1, 2013-05-17 00:16:59, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000516
127.0.0.1, 2013-05-17 00:16:59, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002105
127.0.0.1, 2013-05-17 00:16:59, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 200, 0.001472
127.0.0.1, 2013-05-17 00:16:59, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000484
127.0.0.1, 2013-05-17 00:16:59, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.000465
